feature,importance,category
asset_volatility_30d,0.9351215,Asset
asset_returns_60d_ma,0.04298205,Asset
asset_skewness,0.014261074,Asset
asset_sharpe_ratio,0.007513793,Asset
asset_kurtosis,0.00012150883,Asset
investor_behavioral_fragility,0.0,Investor
investor_risk_tolerance,0.0,Investor
investor_risk_capacity,0.0,Investor
investor_time_horizon_strength,0.0,Investor
asset_sortino_ratio,0.0,Asset
investor_effective_risk_tolerance,0.0,Investor
investor_time_horizon_years,0.0,Investor
asset_max_drawdown,0.0,Asset
asset_calmar_ratio,0.0,Asset
asset_beta,0.0,Asset
market_vix,0.0,Market
market_volatility_level,0.0,Market
market_vix_percentile,0.0,Market
nifty50_level,0.0,Market
market_return_1m,0.0,Market
market_return_3m,0.0,Market
market_regime_bull,0.0,Market
market_regime_bear,0.0,Market
risk_free_rate,0.0,Market
market_top_sector_return,0.0,Market
market_bottom_sector_return,0.0,Market
market_sector_return_dispersion,0.0,Market
portfolio_num_holdings,0.0,Portfolio
portfolio_value,0.0,Portfolio
portfolio_sector_concentration,0.0,Portfolio
portfolio_equity_pct,0.0,Portfolio
portfolio_commodity_pct,0.0,Portfolio
portfolio_avg_weight,0.0,Portfolio
portfolio_volatility,0.0,Portfolio
portfolio_sharpe,0.0,Portfolio
portfolio_max_drawdown,0.0,Portfolio
